value,label
3738,Open Water
3805,Open Water
3859,Open Water
3887,Open Water
3737,Snow-Ice
3767,Developed-Open Space
3768,Developed-Low Intensity
3769,Developed-Medium Intensity
3770,Developed-High Intensity
3800,Developed-Open Space
3801,Developed-Low Intensity
3802,Developed-Medium Intensity
3803,Developed-High Intensity
3857,Developed-General
3860,Developed-Medium Intensity
3861,Developed-High Intensity
3900,Developed-Upland Deciduous Forest
3901,Developed-Upland Evergreen Forest
3902,Developed-Upland Mixed Forest
3903,Developed-Upland Herbaceous
3904,Developed-Upland Shrubland
3905,Developed-Upland Deciduous Forest
3906,Developed-Upland Evergreen Forest
3907,Developed-Upland Mixed Forest
3908,Developed-Upland Herbaceous
3909,Developed-Upland Shrubland
3910,Developed-Upland Deciduous Forest
3911,Developed-Upland Evergreen Forest
3912,Developed-Upland Mixed Forest
3913,Developed-Upland Herbaceous
3914,Developed-Upland Shrubland
3915,Developed-Upland Deciduous Forest
3916,Developed-Upland Evergreen Forest
3917,Developed-Upland Mixed Forest
3918,Developed-Upland Herbaceous
3919,Developed-Upland Shrubland
3920,Developed-Upland Deciduous Forest
3921,Developed-Upland Evergreen Forest
3922,Developed-Upland Mixed Forest
3923,Developed-Upland Shrubland
3924,Developed-Upland Herbaceous
3925,Developed-Upland Deciduous Forest
3926,Developed-Upland Evergreen Forest
3927,Developed-Upland Mixed Forest
3928,Developed-Upland Shrubland
3929,Developed-Upland Herbaceous
3930,Developed-Upland Deciduous Forest
3931,Developed-Upland Evergreen Forest
3932,Developed-Upland Mixed Forest
3933,Developed-Upland Shrubland
3934,Developed-Upland Herbaceous
3935,Developed-Upland Deciduous Forest
3936,Developed-Upland Evergreen Forest
3937,Developed-Upland Mixed Forest
3938,Developed-Upland Shrubland
3939,Developed-Upland Herbaceous
3940,Developed-Upland Deciduous Forest
3941,Developed-Upland Evergreen Forest
3942,Developed-Upland Mixed Forest
3943,Developed-Upland Shrubland
3944,Developed-Upland Herbaceous
3945,Developed-Upland Deciduous Forest
3946,Developed-Upland Evergreen Forest
3947,Developed-Upland Mixed Forest
3948,Developed-Upland Shrubland
3949,Developed-Upland Herbaceous
3950,Developed-Upland Deciduous Forest
3951,Developed-Upland Evergreen Forest
3952,Developed-Upland Mixed Forest
3953,Developed-Upland Shrubland
3954,Developed-Upland Herbaceous
3955,Developed-Upland Deciduous Forest
3956,Developed-Upland Evergreen Forest
3957,Developed-Upland Mixed Forest
3958,Developed-Upland Shrubland
3959,Developed-Upland Herbaceous
3736,Barren
3791,Bedrock  Scree  and Talus
3792,Bedrock  Scree  and Talus
3793,Bedrock  Scree  and Talus
3794,Bedrock  Scree  and Talus
3830,Barren
3832,Barren
3884,Barren
3885,Barren
3886,Barren
3001,Sparse Vegetation
3002,Sparse Vegetation
3003,Sparse Vegetation
3004,Sparse Vegetation
3006,Sparse Vegetation
3007,Sparse Vegetation
3218,Sparse Vegetation
3219,Sparse Vegetation
3221,Sparse Vegetation
3222,Sparse Vegetation
3223,Sparse Vegetation
3497,Sparse Vegetation
3498,Sparse Vegetation
3499,Sparse Vegetation
3879,Sparse Vegetation
3745,Wet Meadow
3747,Wet Meadow
3756,Dwarf Shrubland
3083,Deciduous Shrubland
3084,Deciduous Shrubland
3168,Deciduous Shrubland
3169,Deciduous Shrubland
3385,Western Riparian Woodland and Shrubland
3162,Western Riparian Woodland and Shrubland
3253,Western Riparian Woodland and Shrubland
3254,Western Riparian Woodland and Shrubland
3273,Eastern Floodplain Forests
3467,Eastern Floodplain Forests
3469,Eastern Floodplain Forests
3476,Eastern Small Stream Riparian Forests
3525,Eastern Small Stream Riparian Forests
3562,Eastern Small Stream Riparian Forests
3563,Eastern Small Stream Riparian Forests
3482,Depressional Wetland
3488,Depressional Wetland
3282,Inland Marshes and Prairies
3284,Inland Marshes and Prairies
3285,Inland Marshes and Prairies
3411,Inland Marshes and Prairies
3491,Atlantic Coastal Marsh
3492,Inland Marshes and Prairies
3494,Inland Marshes and Prairies
3283,Inland Marshes and Prairies
3493,Inland Marshes and Prairies
3461,Atlantic Swamp Forests
3462,Atlantic Swamp Forests
3468,Atlantic Swamp Forests
3480,Atlantic Swamp Forests
3571,Atlantic Swamp Forests
3249,Pocosin
3452,Pocosin
3399,Heathland and Grassland
3522,Heathland and Grassland
3741,Tidal Marsh
3742,Tidal Flat
3187,Introduced Upland Vegetation-Treed
3845,Introduced Upland Vegetation-Treed
3846,Introduced Upland Vegetation-Treed
3850,Introduced Upland Vegetation-Treed
3186,Introduced Upland Vegetation-Shrub
3847,Introduced Upland Vegetation-Shrub
3849,Introduced Upland Vegetation-Shrub
3194,Ruderal Forest
3528,Ruderal Forest
3529,Ruderal Forest
3531,Ruderal Forest
3532,Ruderal Forest
3533,Ruderal Forest
3181,Introduced Annual Grassland
3182,Introduced Perennial Grassland and Forbland
3183,Introduced Annual and Biennial Forbland
3184,Introduced Annual Grassland
3848,Introduced Perennial Grassland and Forbland
3247,Glades and Barrens
3289,Alpine-Subalpine Barrens
3340,Chestnut Oak-Virginia Pine Forest and Woodland
3386,Alpine-Subalpine Barrens
3389,Alpine-Subalpine Barrens
3397,Glades and Barrens
3398,Glades and Barrens
3400,Glades and Barrens
3408,Glades and Barrens
3413,Prairies and Barrens
3414,Glades and Barrens
3416,Prairies and Barrens
3417,Prairies and Barrens
3418,Prairies and Barrens
3419,Prairies and Barrens
3248,Atlantic Dunes and Grasslands
3436,Atlantic Dunes and Grasslands
3180,Introduced Riparian Vegetation
3259,Introduced Riparian Vegetation
3536,Introduced Woody Wetland Vegetation
3807,Introduced Woody Wetland Vegetation
3812,Introduced Woody Wetland Vegetation
3852,Introduced Woody Wetland Vegetation
3853,Introduced Woody Wetland Vegetation
3185,Introduced Wetland Vegetation
3196,Introduced Wetland Vegetation
3199,Introduced Wetland Vegetation
3538,Introduced Herbaceous Wetland Vegetation
3838,Introduced Herbaceous Wetland Vegetation
3854,Introduced Herbaceous Wetland Vegetation
3534,Managed Tree Plantation
3535,Managed Tree Plantation
3855,Managed Tree Plantation
3856,Managed Tree Plantation
3191,Transitional Herbacous Vegetation
3192,Transitional Shrub Vegetation
3193,Transitional Forest Vegetation
3195,Transitional Herbacous Vegetation
3759,Transitional Herbacous Vegetation
3760,Transitional Shrub Vegetation
3287,Modified-Managed Prairie Grassland
3539,Modified-Managed Prairie Grassland
3540,Modified-Managed Prairie Grassland
3564,Modified-Managed Prairie Grassland
3771,Shrub and Herbaceous Peatlands
3772,Shrub and Herbaceous Peatlands
3773,Shrub and Herbaceous Peatlands
3795,Shrub and Herbaceous Peatlands
3796,Shrub and Herbaceous Peatlands
3719,Dwarf Shrubland
3730,Sparse Shrub and Fell-field
3751,Peatland Forests
3752,Peatland Forests
3774,Peatland Forests
3797,Peatland Forests
3808,Hawai'i Rainforest
3809,Hawai'i Rainforest
3810,Hawai'i Rainforest
3813,Hawai'i Dry Forest
3815,Hawai'i Dry Forest
3814,Hawai'i Mesic Forest
3816,Hawai'i Mesic Forest
3811,Hawai'i Mesic Shrubland
3818,Hawai'i Mesic Shrubland
3824,Hawai'i Mesic Shrubland
3826,Hawai'i Mesic Shrubland
3827,Hawai'i Mesic Shrubland
3828,Hawai'i Mesic Shrubland
3817,Hawai'i Dry Shrubland
3821,Hawai'i Dry Shrubland
3825,Hawai'i Dry Shrubland
3806,Inland Marshes and Prairies
3820,Hawai'i Mesic Grassland
3823,Hawai'i Mesic Grassland
3819,Hawai'i Dry Grassland
3822,Hawai'i Dry Grassland
3754,Agriculture-Pasture and Hay
3755,Agriculture-Cultivated Crops and Irrigated Agriculture
3804,Agriculture-Cultivated Crops and Irrigated Agriculture
3858,Agriculture-Cultivated Crops and Irrigated Agriculture
3862,Agriculture-Cultivated Crops and Irrigated Agriculture
3863,Agriculture-Cultivated Crops and Irrigated Agriculture
3864,Agriculture-Cultivated Crops and Irrigated Agriculture
3865,Agriculture-Cultivated Crops and Irrigated Agriculture
3960,Agricultural-Orchard
3961,Agricultural-Vineyard
3962,Agricultural-Bush fruit and berries
3963,Agricultural-Row Crop-Close Grown Crop
3964,Agricultural-Row Crop
3965,Agricultural-Close Grown Crop
3966,Agricultural-Fallow/Idle Cropland
3967,Agricultural-Pasture and Hayland
3968,Agricultural-Wheat
3969,Agricultual-Aquaculture
3970,Agricultural-Orchard
3971,Agricultural-Vineyard
3972,Agricultural-Bush fruit and berries
3973,Agricultural-Row Crop-Close Grown Crop
3974,Agricultural-Row Crop
3975,Agricultural-Close Grown Crop
3976,Agricultural-Fallow/Idle Cropland
3977,Agricultural-Pasture and Hayland
3978,Agricultural-Wheat
3979,Agricultual-Aquaculture
3980,Agricultural-Orchard
3981,Agricultural-Vineyard
3982,Agricultural-Bush fruit and berries
3983,Agricultural-Row Crop-Close Grown Crop
3984,Agricultural-Row Crop
3985,Agricultural-Close Grown Crop
3986,Agricultural-Fallow/Idle Cropland
3987,Agricultural-Pasture and Hayland
3988,Agricultural-Wheat
3989,Agricultual-Aquaculture
3990,Agricultural-Orchard
3991,Agricultural-Vineyard
3992,Agricultural-Bush fruit and berries
3993,Agricultural-Row Crop-Close Grown Crop
3994,Agricultural-Row Crop
3995,Agricultural-Close Grown Crop
3996,Agricultural-Fallow/Idle Cropland
3997,Agricultural-Pasture and Hayland
3998,Agricultural-Wheat
3999,Agricultual-Aquaculture
3833,Pacific Islands Limestone Forest
3834,Pacific Islands Littoral/Strand Vegetation
3835,Pacific Islands Lowland Forest
3836,Pacific Islands Mangrove Forest
